Airport.Code,Airport.Name,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.Security,Statistics.# of Delays.Weather,Statistics.Flights.Cancelled,Statistics.Flights.Delayed,Statistics.Flights.Total,Statistics.Minutes Delayed.Total
PDX,"Portland, OR: Portland International",379,6,24,41,1137,4744,53343
PHL,"Philadelphia, PA: Philadelphia International",567,3,127,129,2845,8590,176462
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",909,18,73,187,2541,17524,117386
SAN,"San Diego, CA: San Diego International",489,4,43,160,1332,7519,60059
SEA,"Seattle, WA: Seattle/Tacoma International",833,8,47,109,2467,8283,130808
SFO,"San Francisco, CA: San Francisco International",736,5,58,270,3052,10723,181229
SLC,"Salt Lake City, UT: Salt Lake City International",620,16,87,120,1722,11383,76030
TPA,"Tampa, FL: Tampa International",451,1,12,23,1148,6465,54252
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2130,12,262,633,6606,32795,346376
BOS,"Boston, MA: Logan International",853,2,92,282,2332,11050,128754
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",807,8,44,151,1666,8912,83931
CLT,"Charlotte, NC: Charlotte Douglas International",796,2,60,173,2734,10261,128873
DCA,"Washington, DC: Ronald Reagan Washington National",524,3,78,248,1672,7504,87179
DEN,"Denver, CO: Denver International",1590,20,207,2144,4774,19599,271849
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2710,16,355,958,6256,25464,363000
DTW,"Detroit, MI: Detroit Metro Wayne County",960,19,112,237,3000,11269,145535
EWR,"Newark, NJ: Newark Liberty International",1087,7,143,441,5381,13437,366671
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",617,5,36,45,1813,6043,91890
IAD,"Washington, DC: Washington Dulles International",758,14,72,214,2067,8710,121146
IAH,"Houston, TX: George Bush Intercontinental/Houston",1325,24,165,391,4397,19262,235311
JFK,"New York, NY: John F. Kennedy International",1160,8,153,220,3831,10528,231056
LAS,"Las Vegas, NV: McCarran International",1638,31,88,226,3840,15450,191198
LAX,"Los Angeles, CA: Los Angeles International",1676,29,143,409,4591,19977,236659
LGA,"New York, NY: LaGuardia",788,2,149,340,3416,10358,184841
MCO,"Orlando, FL: Orlando International",860,10,47,83,2453,10072,124147
MDW,"Chicago, IL: Chicago Midway International",807,14,125,205,2000,8535,109554
MIA,"Miami, FL: Miami International",445,4,55,67,1590,5482,79770
MSP,"Minneapolis, MN: Minneapolis-St Paul International",842,24,110,212,2797,10799,143924
ORD,"Chicago, IL: Chicago O'Hare International",3277,19,215,2213,11592,31399,859189
PDX,"Portland, OR: Portland International",528,11,43,124,1361,4884,72383
PHL,"Philadelphia, PA: Philadelphia International",623,2,106,240,2536,8688,163795
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1495,35,146,362,4101,18245,214774
SAN,"San Diego, CA: San Diego International",708,8,37,150,1688,7788,80608
SEA,"Seattle, WA: Seattle/Tacoma International",1036,19,54,203,2796,8766,152915
SFO,"San Francisco, CA: San Francisco International",976,17,69,326,3398,11065,194187
SLC,"Salt Lake City, UT: Salt Lake City International",1141,27,172,240,2890,12174,155215
TPA,"Tampa, FL: Tampa International",636,4,35,58,1727,7100,83512
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1797,9,414,879,6653,32266,375734
