Airport.Code,Airport.Name,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.Security,Statistics.# of Delays.Weather,Statistics.Flights.Cancelled,Statistics.Flights.Delayed,Statistics.Flights.Total,Statistics.Minutes Delayed.Total
SEA,"Seattle, WA: Seattle/Tacoma International",649,4,50,44,1781,9812,98370
SFO,"San Francisco, CA: San Francisco International",1367,2,138,503,4940,14768,387318
SLC,"Salt Lake City, UT: Salt Lake City International",617,4,50,75,1393,9994,81328
TPA,"Tampa, FL: Tampa International",573,1,50,34,1496,5547,90084
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3843,6,423,515,10827,35541,757977
BOS,"Boston, MA: Logan International",1224,5,94,150,3045,10291,186007
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",952,5,116,81,2366,9134,134122
CLT,"Charlotte, NC: Charlotte Douglas International",1093,8,96,239,3549,13370,193403
DCA,"Washington, DC: Ronald Reagan Washington National",578,3,58,160,1750,6277,104274
DEN,"Denver, CO: Denver International",1969,11,125,188,4832,20254,285643
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",3053,7,201,492,5935,25017,376677
DTW,"Detroit, MI: Detroit Metro Wayne County",1370,3,139,416,3320,15245,230010
EWR,"Newark, NJ: Newark Liberty International",1056,2,69,323,3508,10442,256530
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",630,5,41,45,1647,5481,96838
IAD,"Washington, DC: Washington Dulles International",801,2,48,160,1834,6559,117022
IAH,"Houston, TX: George Bush Intercontinental/Houston",1401,3,94,164,3116,15759,189052
JFK,"New York, NY: John F. Kennedy International",1056,6,89,236,3458,10023,237476
LAS,"Las Vegas, NV: McCarran International",1141,7,77,105,2400,12109,128832
LAX,"Los Angeles, CA: Los Angeles International",2000,5,127,347,4663,20793,268471
LGA,"New York, NY: LaGuardia",737,0,98,480,2833,8929,212744
MCO,"Orlando, FL: Orlando International",1008,3,66,72,2663,10203,158436
MDW,"Chicago, IL: Chicago Midway International",825,9,63,40,1892,8359,91475
MIA,"Miami, FL: Miami International",683,2,62,63,1608,6959,102816
MSP,"Minneapolis, MN: Minneapolis-St Paul International",973,1,62,192,2246,13752,145584
ORD,"Chicago, IL: Chicago O'Hare International",3373,4,151,541,6767,27970,417557
PDX,"Portland, OR: Portland International",456,2,22,41,998,5032,57095
PHL,"Philadelphia, PA: Philadelphia International",538,3,83,130,2255,7171,125108
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1091,7,61,160,2538,15438,128866
SAN,"San Diego, CA: San Diego International",706,3,30,104,1510,7015,78925
SEA,"Seattle, WA: Seattle/Tacoma International",754,13,42,46,1976,10468,102848
SFO,"San Francisco, CA: San Francisco International",1547,3,105,862,5688,15401,467629
SLC,"Salt Lake City, UT: Salt Lake City International",623,1,37,62,1473,10328,82074
TPA,"Tampa, FL: Tampa International",577,3,44,29,1469,5684,79426
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2609,4,176,213,6985,35139,386471
BOS,"Boston, MA: Logan International",902,6,37,55,2278,10392,125213
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",785,3,39,19,1636,8856,73014
CLT,"Charlotte, NC: Charlotte Douglas International",881,5,54,122,2478,13195,115426
DCA,"Washington, DC: Ronald Reagan Washington National",380,2,30,87,1059,6363,56183
DEN,"Denver, CO: Denver International",1714,11,89,112,4306,20027,230477
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2001,7,105,362,4096,24926,244538
DTW,"Detroit, MI: Detroit Metro Wayne County",969,1,71,157,2197,15273,123628
EWR,"Newark, NJ: Newark Liberty International",810,3,53,200,2419,10323,153588
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",431,3,19,10,1151,5115,56927
IAD,"Washington, DC: Washington Dulles International",565,1,26,119,1217,6509,72063
IAH,"Houston, TX: George Bush Intercontinental/Houston",942,3,54,143,2207,15236,124825
JFK,"New York, NY: John F. Kennedy International",782,7,44,97,2411,9989,146200
LAS,"Las Vegas, NV: McCarran International",1209,4,68,45,2545,12042,125066
LAX,"Los Angeles, CA: Los Angeles International",1824,7,83,188,4392,20406,222638
LGA,"New York, NY: LaGuardia",550,2,58,230,2096,8983,133702
MCO,"Orlando, FL: Orlando International",649,6,35,22,1860,9252,94121
MDW,"Chicago, IL: Chicago Midway International",818,8,55,17,1905,8082,89686
MIA,"Miami, FL: Miami International",406,1,34,23,1019,6875,62823
MSP,"Minneapolis, MN: Minneapolis-St Paul International",710,5,38,69,1668,13688,96730
ORD,"Chicago, IL: Chicago O'Hare International",2383,5,118,516,5596,27714,355968
PDX,"Portland, OR: Portland International",392,3,19,13,849,5000,43978
PHL,"Philadelphia, PA: Philadelphia International",411,4,53,56,1727,7110,94151
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1091,8,41,113,2581,14944,121396
SAN,"San Diego, CA: San Diego International",698,2,24,59,1489,6850,71394
SEA,"Seattle, WA: Seattle/Tacoma International",649,5,31,24,1665,10283,81600
SFO,"San Francisco, CA: San Francisco International",1651,4,105,322,5411,15478,359038
SLC,"Salt Lake City, UT: Salt Lake City International",555,2,27,75,1228,10402,66454
TPA,"Tampa, FL: Tampa International",407,1,19,4,1050,5317,51728
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1442,1,97,98,3940,32046,212088
BOS,"Boston, MA: Logan International",434,4,36,73,1434,9290,79062
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",528,1,37,78,1206,7983,61029
CLT,"Charlotte, NC: Charlotte Douglas International",467,9,45,116,1488,12241,68796
DCA,"Washington, DC: Ronald Reagan Washington National",212,3,30,79,832,5925,46642
DEN,"Denver, CO: Denver International",1323,5,96,71,3667,18823,202709
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1328,3,86,223,2711,23211,175083
DTW,"Detroit, MI: Detroit Metro Wayne County",475,2,51,101,1242,13194,75498
EWR,"Newark, NJ: Newark Liberty International",453,3,51,164,1615,9522,107189
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",190,3,9,11,553,4118,28084
IAD,"Washington, DC: Washington Dulles International",338,2,32,107,926,6118,58106
IAH,"Houston, TX: George Bush Intercontinental/Houston",695,2,45,115,1862,14258,109632
JFK,"New York, NY: John F. Kennedy International",376,1,42,108,1496,8940,89846
LAS,"Las Vegas, NV: McCarran International",1007,1,63,30,2230,11418,107264
LAX,"Los Angeles, CA: Los Angeles International",1285,4,58,173,2989,18390,152706
LGA,"New York, NY: LaGuardia",354,2,53,238,1528,9115,101498
MCO,"Orlando, FL: Orlando International",342,2,25,18,964,7700,51874
MDW,"Chicago, IL: Chicago Midway International",563,6,56,14,1377,7446,66859
MIA,"Miami, FL: Miami International",264,2,35,22,710,6165,40376
MSP,"Minneapolis, MN: Minneapolis-St Paul International",421,4,29,57,1125,11970,67829
ORD,"Chicago, IL: Chicago O'Hare International",1362,2,87,542,3473,25285,257655
PDX,"Portland, OR: Portland International",326,1,10,17,743,4623,36468
PHL,"Philadelphia, PA: Philadelphia International",209,3,37,53,982,6467,50616
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",826,2,37,95,1926,13695,94412
SAN,"San Diego, CA: San Diego International",576,1,20,55,1171,6166,54294
SEA,"Seattle, WA: Seattle/Tacoma International",472,6,28,26,1297,8964,65211
SFO,"San Francisco, CA: San Francisco International",1009,4,98,193,3488,13903,238489
SLC,"Salt Lake City, UT: Salt Lake City International",400,1,35,33,970,9137,51669
TPA,"Tampa, FL: Tampa International",237,2,15,4,602,4613,29829
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1389,4,36,79,3668,33810,194893
BOS,"Boston, MA: Logan International",401,1,14,31,1148,9702,54033
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",569,4,18,14,1236,8461,51517
CLT,"Charlotte, NC: Charlotte Douglas International",662,2,22,136,1786,13317,80269
DCA,"Washington, DC: Ronald Reagan Washington National",218,1,8,46,718,6210,33521
DEN,"Denver, CO: Denver International",1295,5,56,105,3459,19405,162692
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1647,2,73,193,3766,24238,202929
DTW,"Detroit, MI: Detroit Metro Wayne County",500,5,22,70,1255,13908,66387
EWR,"Newark, NJ: Newark Liberty International",571,2,28,103,2061,10076,129276
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",177,4,2,7,533,4606,23756
IAD,"Washington, DC: Washington Dulles International",440,3,11,56,915,6513,51949
IAH,"Houston, TX: George Bush Intercontinental/Houston",849,1,34,77,2335,14910,114902
JFK,"New York, NY: John F. Kennedy International",333,4,21,39,1327,9181,71606
LAS,"Las Vegas, NV: McCarran International",925,6,52,23,2373,12151,109069
LAX,"Los Angeles, CA: Los Angeles International",1227,7,62,139,3294,18966,148589
LGA,"New York, NY: LaGuardia",412,1,41,121,1825,9645,98341
MCO,"Orlando, FL: Orlando International",360,1,9,6,1040,8584,46130
MDW,"Chicago, IL: Chicago Midway International",562,4,14,5,1414,7734,50817
MIA,"Miami, FL: Miami International",230,2,11,13,598,6551,33092
MSP,"Minneapolis, MN: Minneapolis-St Paul International",492,6,21,78,1415,12688,69021
ORD,"Chicago, IL: Chicago O'Hare International",1829,2,72,293,4510,26539,246167
PDX,"Portland, OR: Portland International",255,1,7,28,592,4740,29819
PHL,"Philadelphia, PA: Philadelphia International",223,4,18,30,1124,6705,57880
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",858,6,13,73,2264,14653,90616
SAN,"San Diego, CA: San Diego International",484,5,12,49,1232,6383,49147
SEA,"Seattle, WA: Seattle/Tacoma International",325,5,25,24,985,8476,44719
SFO,"San Francisco, CA: San Francisco International",912,3,40,215,2844,14295,181717
SLC,"Salt Lake City, UT: Salt Lake City International",385,2,7,33,897,9264,41022
TPA,"Tampa, FL: Tampa International",278,4,7,3,729,5126,29884
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1680,10,79,102,4714,31466,252055
BOS,"Boston, MA: Logan International",386,5,21,55,1044,9075,49481
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",607,1,27,19,1255,7724,54566
CLT,"Charlotte, NC: Charlotte Douglas International",779,4,43,158,1955,12491,95195
DCA,"Washington, DC: Ronald Reagan Washington National",219,1,17,55,685,5845,31211
DEN,"Denver, CO: Denver International",1163,9,47,148,2848,17962,146895
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1338,8,79,710,3147,22748,184582
DTW,"Detroit, MI: Detroit Metro Wayne County",507,2,46,110,1316,12610,76215
EWR,"Newark, NJ: Newark Liberty International",528,5,29,107,1611,9694,85604
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",250,5,9,20,869,5204,38016
IAD,"Washington, DC: Washington Dulles International",403,3,26,48,901,5887,54416
IAH,"Houston, TX: George Bush Intercontinental/Houston",962,3,49,126,2195,14248,126179
JFK,"New York, NY: John F. Kennedy International",319,16,21,53,1265,8701,68342
LAS,"Las Vegas, NV: McCarran International",667,9,69,81,2014,11074,124298
LAX,"Los Angeles, CA: Los Angeles International",964,34,68,280,2797,18002,151447
LGA,"New York, NY: LaGuardia",440,3,47,126,1810,8848,88213
MCO,"Orlando, FL: Orlando International",430,5,14,26,1250,9017,56271
MDW,"Chicago, IL: Chicago Midway International",553,5,39,12,1380,6902,59087
MIA,"Miami, FL: Miami International",238,5,18,15,737,6546,38878
MSP,"Minneapolis, MN: Minneapolis-St Paul International",477,3,28,61,1299,11592,65459
ORD,"Chicago, IL: Chicago O'Hare International",1446,4,70,441,4045,24033,252473
PDX,"Portland, OR: Portland International",263,2,7,30,639,4613,30422
PHL,"Philadelphia, PA: Philadelphia International",273,1,21,49,1037,6338,52330
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",696,7,20,122,1863,14105,82430
SAN,"San Diego, CA: San Diego International",407,2,24,99,1023,6029,45755
SEA,"Seattle, WA: Seattle/Tacoma International",352,6,24,36,1017,7984,46901
SFO,"San Francisco, CA: San Francisco International",742,9,44,182,2294,13289,131289
SLC,"Salt Lake City, UT: Salt Lake City International",324,2,11,42,809,8510,43203
TPA,"Tampa, FL: Tampa International",344,5,6,6,860,5279,38431
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2782,11,210,354,7524,31894,415453
BOS,"Boston, MA: Logan International",912,4,75,223,2249,8890,129349
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",1340,7,53,111,2497,7902,120285
CLT,"Charlotte, NC: Charlotte Douglas International",959,5,85,205,2866,12837,140171
DCA,"Washington, DC: Ronald Reagan Washington National",412,0,65,208,1200,5779,63004
DEN,"Denver, CO: Denver International",2639,13,144,374,6423,19028,357353
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2147,4,249,2685,5099,23763,331399
DTW,"Detroit, MI: Detroit Metro Wayne County",1079,3,113,204,2537,11927,160050
EWR,"Newark, NJ: Newark Liberty International",1016,3,77,527,2941,9913,199831
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",657,10,55,73,2223,5881,106131
IAD,"Washington, DC: Washington Dulles International",634,1,38,282,1356,5789,85410
IAH,"Houston, TX: George Bush Intercontinental/Houston",1471,3,136,373,3715,14852,231629
JFK,"New York, NY: John F. Kennedy International",908,2,67,189,2481,9151,151354
LAS,"Las Vegas, NV: McCarran International",1624,9,67,97,3493,11111,158311
LAX,"Los Angeles, CA: Los Angeles International",1943,7,194,230,4899,19060,242063
LGA,"New York, NY: LaGuardia",848,4,103,376,2461,9064,155355
MCO,"Orlando, FL: Orlando International",989,14,70,116,2936,9630,143880
MDW,"Chicago, IL: Chicago Midway International",1283,13,74,60,2894,7252,134655
MIA,"Miami, FL: Miami International",473,2,108,102,1514,7489,84154
MSP,"Minneapolis, MN: Minneapolis-St Paul International",1240,7,141,208,3062,11567,195947
ORD,"Chicago, IL: Chicago O'Hare International",2777,4,224,1211,7446,23086,468194
PDX,"Portland, OR: Portland International",553,4,40,54,1403,4726,67089
PHL,"Philadelphia, PA: Philadelphia International",439,2,61,195,1537,6374,88649
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1405,10,80,167,3695,14681,173867
SAN,"San Diego, CA: San Diego International",804,2,42,99,1751,6243,82541
SEA,"Seattle, WA: Seattle/Tacoma International",602,5,84,55,2028,8351,94650
SFO,"San Francisco, CA: San Francisco International",1137,4,157,245,3138,13809,166582
SLC,"Salt Lake City, UT: Salt Lake City International",893,7,109,283,2265,8737,136451
TPA,"Tampa, FL: Tampa International",749,7,51,61,1887,5663,90546
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2983,3,307,2532,7528,30784,546815
BOS,"Boston, MA: Logan International",721,2,119,707,1825,8283,125933
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",923,7,66,426,2071,7176,124791
CLT,"Charlotte, NC: Charlotte Douglas International",582,3,76,428,1966,9777,106023
DCA,"Washington, DC: Ronald Reagan Washington National",453,1,73,394,1282,5739,74730
DEN,"Denver, CO: Denver International",2079,8,166,788,5218,17955,329439
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1871,2,254,779,4256,23482,258617
DTW,"Detroit, MI: Detroit Metro Wayne County",724,1,98,591,1876,7550,128497
EWR,"Newark, NJ: Newark Liberty International",934,2,98,1109,2439,9255,190088
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",590,5,127,310,2299,5876,139741
IAD,"Washington, DC: Washington Dulles International",567,0,52,453,1198,4688,90522
IAH,"Houston, TX: George Bush Intercontinental/Houston",1360,0,176,1252,3203,14569,217242
JFK,"New York, NY: John F. Kennedy International",764,1,98,774,2065,7882,168682
LAS,"Las Vegas, NV: McCarran International",1282,12,97,213,2810,11052,159551
LAX,"Los Angeles, CA: Los Angeles International",1636,4,299,479,4015,18474,245169
LGA,"New York, NY: LaGuardia",775,1,151,1023,2199,8535,151192
MCO,"Orlando, FL: Orlando International",922,6,144,405,2917,9189,191334
MDW,"Chicago, IL: Chicago Midway International",659,8,134,958,1870,6577,135018
MIA,"Miami, FL: Miami International",475,1,148,246,1593,7426,101236
MSP,"Minneapolis, MN: Minneapolis-St Paul International",721,1,113,365,1964,8085,128578
ORD,"Chicago, IL: Chicago O'Hare International",2301,1,240,3680,6509,21529,494069
PDX,"Portland, OR: Portland International",385,1,51,100,985,4372,57560
PHL,"Philadelphia, PA: Philadelphia International",384,3,73,384,1501,6024,95855
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1067,5,100,251,2558,13335,142573
SAN,"San Diego, CA: San Diego International",684,4,91,186,1566,6086,87893
SEA,"Seattle, WA: Seattle/Tacoma International",511,3,97,141,1527,7776,86879
SFO,"San Francisco, CA: San Francisco International",1195,1,210,451,3387,13539,202325
SLC,"Salt Lake City, UT: Salt Lake City International",650,3,99,162,1671,8676,100598
TPA,"Tampa, FL: Tampa International",566,3,105,226,1762,5432,106562
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1960,3,187,2319,4884,27982,292859
BOS,"Boston, MA: Logan International",646,1,62,593,1571,7755,92056
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",628,4,18,460,1278,6570,63818
CLT,"Charlotte, NC: Charlotte Douglas International",513,3,52,809,1639,8847,85727
DCA,"Washington, DC: Ronald Reagan Washington National",362,1,39,488,1007,5360,52156
DEN,"Denver, CO: Denver International",1790,3,129,443,4532,16179,252663
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1854,0,199,1382,4224,21239,266276
DTW,"Detroit, MI: Detroit Metro Wayne County",551,5,55,282,1333,6876,82271
EWR,"Newark, NJ: Newark Liberty International",783,0,55,1319,1828,8530,131419
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",469,3,55,218,1648,5522,85676
IAD,"Washington, DC: Washington Dulles International",438,0,20,481,818,4222,54273
IAH,"Houston, TX: George Bush Intercontinental/Houston",1443,0,118,573,3339,13399,208446
JFK,"New York, NY: John F. Kennedy International",693,4,48,481,1664,7261,123157
LAS,"Las Vegas, NV: McCarran International",1114,4,99,171,2727,10093,146654
LAX,"Los Angeles, CA: Los Angeles International",1683,8,190,408,4493,16560,252407
LGA,"New York, NY: LaGuardia",536,2,70,1081,1692,7915,114949
MCO,"Orlando, FL: Orlando International",660,2,101,289,2214,8642,125134
MDW,"Chicago, IL: Chicago Midway International",599,1,49,444,1388,6059,68795
MIA,"Miami, FL: Miami International",327,0,73,226,1099,6771,70370
MSP,"Minneapolis, MN: Minneapolis-St Paul International",515,1,50,261,1399,7316,83098
ORD,"Chicago, IL: Chicago O'Hare International",2041,2,127,1518,5332,19812,355785
PDX,"Portland, OR: Portland International",368,2,16,102,1034,3862,52865
PHL,"Philadelphia, PA: Philadelphia International",346,2,39,422,1234,5551,81872
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",897,4,47,195,2322,12071,114847
SAN,"San Diego, CA: San Diego International",638,1,42,123,1515,5485,73510
SEA,"Seattle, WA: Seattle/Tacoma International",499,2,38,88,1547,7027,77230
SFO,"San Francisco, CA: San Francisco International",1174,6,151,719,4516,12081,332440
SLC,"Salt Lake City, UT: Salt Lake City International",481,2,39,122,1295,7807,68580
TPA,"Tampa, FL: Tampa International",408,3,46,195,1292,5144,67712
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2473,5,117,341,6001,32702,339059
BOS,"Boston, MA: Logan International",654,2,29,191,1597,9322,80318
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",847,7,24,221,1665,7810,78510
CLT,"Charlotte, NC: Charlotte Douglas International",494,4,25,172,1557,9792,70859
DCA,"Washington, DC: Ronald Reagan Washington National",346,2,29,384,1117,6019,57234
DEN,"Denver, CO: Denver International",1749,4,105,291,4145,18996,226910
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1746,4,114,713,4247,23760,260185
DTW,"Detroit, MI: Detroit Metro Wayne County",556,1,44,193,1397,8995,80355
EWR,"Newark, NJ: Newark Liberty International",687,1,43,381,1978,9867,116979
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",491,3,43,60,1801,6601,93938
IAD,"Washington, DC: Washington Dulles International",478,0,18,310,973,5215,62756
IAH,"Houston, TX: George Bush Intercontinental/Houston",1212,1,75,364,2880,15370,167918
JFK,"New York, NY: John F. Kennedy International",487,0,19,180,1466,8431,83281
LAS,"Las Vegas, NV: McCarran International",1202,1,26,79,2573,11962,109678
LAX,"Los Angeles, CA: Los Angeles International",1536,8,78,236,4050,19047,190152
LGA,"New York, NY: LaGuardia",534,0,48,324,1962,9019,122899
MCO,"Orlando, FL: Orlando International",737,3,56,87,2187,10464,124005
MDW,"Chicago, IL: Chicago Midway International",810,3,18,113,1630,7418,69158
MIA,"Miami, FL: Miami International",370,1,35,105,1146,7608,64256
MSP,"Minneapolis, MN: Minneapolis-St Paul International",503,3,20,98,1365,8617,71071
ORD,"Chicago, IL: Chicago O'Hare International",1998,2,95,860,5293,22922,323521
PDX,"Portland, OR: Portland International",387,2,13,24,852,4651,39643
PHL,"Philadelphia, PA: Philadelphia International",377,4,41,145,1423,6489,83355
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1095,2,29,114,2612,14738,119221
SAN,"San Diego, CA: San Diego International",618,1,17,69,1326,6430,57384
SEA,"Seattle, WA: Seattle/Tacoma International",495,2,21,41,1305,8271,61539
SFO,"San Francisco, CA: San Francisco International",1185,2,73,275,3335,13846,185666
SLC,"Salt Lake City, UT: Salt Lake City International",530,0,20,74,1254,9371,61800
TPA,"Tampa, FL: Tampa International",557,0,35,64,1486,6499,78502
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2128,4,104,143,5240,31117,288128
BOS,"Boston, MA: Logan International",665,4,31,65,1544,9374,84270
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",783,5,22,24,1517,7803,71090
CLT,"Charlotte, NC: Charlotte Douglas International",484,1,22,80,1431,9481,67166
DCA,"Washington, DC: Ronald Reagan Washington National",313,0,28,109,1008,5950,48435
DEN,"Denver, CO: Denver International",1364,3,53,151,3072,17455,165260
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1579,2,146,291,3919,22628,255641
DTW,"Detroit, MI: Detroit Metro Wayne County",484,1,25,75,1078,8627,61480
EWR,"Newark, NJ: Newark Liberty International",594,0,49,468,2758,9081,200723
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",392,2,23,39,1333,5842,64763
IAD,"Washington, DC: Washington Dulles International",417,2,20,88,897,4987,51034
IAH,"Houston, TX: George Bush Intercontinental/Houston",908,0,65,172,2385,13697,126790
JFK,"New York, NY: John F. Kennedy International",470,1,28,121,1670,8209,97124
LAS,"Las Vegas, NV: McCarran International",1152,2,29,63,2376,11677,108335
LAX,"Los Angeles, CA: Los Angeles International",1388,8,66,160,3615,18549,176699
LGA,"New York, NY: LaGuardia",511,0,57,195,1888,9108,111089
MCO,"Orlando, FL: Orlando International",602,2,47,43,1912,9557,102878
MDW,"Chicago, IL: Chicago Midway International",787,3,51,27,1607,7436,73637
MIA,"Miami, FL: Miami International",318,2,27,36,1013,7061,53391
MSP,"Minneapolis, MN: Minneapolis-St Paul International",458,6,33,91,1250,8601,72264
ORD,"Chicago, IL: Chicago O'Hare International",1866,7,115,536,5456,23234,335434
PDX,"Portland, OR: Portland International",326,3,10,19,678,4615,32501
PHL,"Philadelphia, PA: Philadelphia International",301,2,36,49,1129,6279,60317
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",980,3,25,117,2259,13561,102457
SAN,"San Diego, CA: San Diego International",626,1,15,57,1292,6255,59395
SEA,"Seattle, WA: Seattle/Tacoma International",438,2,14,20,1137,8438,53709
SFO,"San Francisco, CA: San Francisco International",999,3,55,202,2908,13734,174688
SLC,"Salt Lake City, UT: Salt Lake City International",453,1,18,39,1022,8728,52265
TPA,"Tampa, FL: Tampa International",401,1,21,16,1185,5882,56713
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2052,7,130,172,5135,31799,309830
BOS,"Boston, MA: Logan International",654,3,68,141,1899,9534,115764
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",874,6,73,66,1905,8084,102809
CLT,"Charlotte, NC: Charlotte Douglas International",462,3,41,139,1561,9626,85869
DCA,"Washington, DC: Ronald Reagan Washington National",389,4,37,138,1173,6078,68171
DEN,"Denver, CO: Denver International",1644,1,146,412,4224,18997,254326
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1650,7,222,756,4056,23618,299393
DTW,"Detroit, MI: Detroit Metro Wayne County",552,2,42,125,1438,9278,92064
EWR,"Newark, NJ: Newark Liberty International",671,1,66,515,2733,9046,229009
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",392,2,15,52,1031,5230,56575
IAD,"Washington, DC: Washington Dulles International",483,2,22,180,1076,5105,76136
IAH,"Houston, TX: George Bush Intercontinental/Houston",1304,0,106,477,3215,15331,217365
JFK,"New York, NY: John F. Kennedy International",526,4,53,154,2029,8477,126412
LAS,"Las Vegas, NV: McCarran International",1241,0,43,75,2448,12109,119334
LAX,"Los Angeles, CA: Los Angeles International",1617,6,111,201,3921,19417,201099
LGA,"New York, NY: LaGuardia",557,1,94,350,2552,9070,174763
MCO,"Orlando, FL: Orlando International",705,6,36,94,1981,9593,105489
MDW,"Chicago, IL: Chicago Midway International",876,4,79,109,1905,7656,109247
MIA,"Miami, FL: Miami International",409,1,35,66,1127,7128,67784
MSP,"Minneapolis, MN: Minneapolis-St Paul International",489,4,49,79,1347,8843,82276
ORD,"Chicago, IL: Chicago O'Hare International",2483,8,159,1188,7137,24634,463309
PDX,"Portland, OR: Portland International",355,1,16,31,812,4826,42446
PHL,"Philadelphia, PA: Philadelphia International",328,2,53,58,1266,6423,74583
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1058,4,51,109,2346,13766,119926
SAN,"San Diego, CA: San Diego International",667,1,22,73,1342,6450,65506
SEA,"Seattle, WA: Seattle/Tacoma International",509,4,27,29,1354,9208,69948
SFO,"San Francisco, CA: San Francisco International",1153,5,87,227,3704,14164,204974
SLC,"Salt Lake City, UT: Salt Lake City International",490,0,26,55,1034,8804,58251
TPA,"Tampa, FL: Tampa International",430,1,31,37,1168,5605,63563
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2524,7,231,160,6226,30945,381488
BOS,"Boston, MA: Logan International",820,5,99,141,2279,9662,131825
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",871,1,107,78,1924,7994,120237
CLT,"Charlotte, NC: Charlotte Douglas International",514,5,71,104,1684,8923,87202
DCA,"Washington, DC: Ronald Reagan Washington National",445,4,59,126,1379,5830,83300
DEN,"Denver, CO: Denver International",2053,3,148,232,4810,19708,292769
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",3103,7,365,628,6723,23772,472047
DTW,"Detroit, MI: Detroit Metro Wayne County",704,3,74,125,1619,9161,105243
EWR,"Newark, NJ: Newark Liberty International",1001,1,82,357,2950,9716,202356
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",403,3,31,57,1145,5090,61728
IAD,"Washington, DC: Washington Dulles International",576,1,40,163,1308,4936,89278
IAH,"Houston, TX: George Bush Intercontinental/Houston",1634,0,130,507,4133,15118,278861
JFK,"New York, NY: John F. Kennedy International",531,3,60,134,2135,8581,129086
LAS,"Las Vegas, NV: McCarran International",1502,6,58,77,3086,11793,151873
LAX,"Los Angeles, CA: Los Angeles International",1991,15,136,238,5208,19447,273935
LGA,"New York, NY: LaGuardia",673,1,114,358,2757,9103,174080
